noise_multiplier,accuracy,epsilon_1round
0.0,0.9865036304691477,inf
0.2,0.9819994054476813,24.224026313026943
0.5,0.984247725454622,9.689610525210778
1.0,0.9805839770757312,4.844805262605389
2.0,0.9805584342915677,2.4224026313026945
