mode,accuracy_mean,accuracy_std,f1_mean
fedavg,0.9257847753169773,0.10967463305037159,0.8904383295346253
fedper,0.982028124423416,0.029794696300422193,0.9752592034024975
ditto,0.9798320127445458,0.02187298093307921,0.9723222407121365
fedper_adaptive,0.9879836097602215,0.02109094903797587,0.9837046629048182
