round,cid,loss,accuracy,f1,adaptive_epochs,selected
1,S10,0.15808058083880505,0.9787234042553191,0.972972972972973,8,True
1,S11,0.17951387798111937,0.9782608695652174,0.96875,8,True
1,S13,0.22823613565678477,0.9340659340659341,0.90625,8,True
1,S14,0.1278526163196167,0.9782608695652174,0.9722222222222222,8,True
1,S15,0.16343518273409782,0.9782608695652174,0.9714285714285714,8,True
1,S16,0.13073854949539734,0.989010989010989,0.9836065573770492,8,True
1,S17,0.0952966283455369,1.0,1.0,8,True
1,S2,0.4988389778386462,0.8390804597701149,0.78125,8,True
1,S3,0.41195811154232764,0.8522727272727273,0.8169014084507042,8,True
1,S4,0.07564847434329834,1.0,1.0,8,True
1,S5,0.055322690566264675,1.0,1.0,8,True
1,S6,0.14395634840455027,0.9666666666666667,0.9523809523809523,8,True
1,S7,0.1991285262561118,0.9666666666666667,0.9491525423728813,8,True
1,S8,0.3419253968072312,0.9340659340659341,0.896551724137931,8,True
1,S9,0.2494124124069694,0.9777777777777777,0.9705882352941176,8,True
2,S10,0.0716559898925517,0.9893617021276596,0.9863013698630138,8,True
2,S11,0.08975602788590063,0.9891304347826086,0.9846153846153847,8,True
2,S13,0.1537667582187664,0.9340659340659341,0.90625,8,True
2,S14,0.07168989347384183,0.9891304347826086,0.9863013698630138,8,True
2,S15,0.09904728630985256,0.9782608695652174,0.9714285714285714,8,True
2,S16,0.06009191544639829,1.0,1.0,8,True
2,S17,0.051478569228216066,1.0,1.0,8,True
2,S2,0.42571844327995567,0.8735632183908046,0.8307692307692308,8,True
2,S3,0.23374557248069633,0.9204545454545454,0.8923076923076922,8,True
2,S4,0.04205309015954345,1.0,1.0,8,True
2,S5,0.03109149659760027,1.0,1.0,5,True
2,S6,0.08124448116499239,0.9777777777777777,0.967741935483871,8,True
2,S7,0.09826590140507287,1.0,1.0,8,True
2,S8,0.21945262205134367,0.967032967032967,0.9454545454545454,8,True
2,S9,0.1165383710598939,1.0,1.0,8,True
3,S10,0.0462869356239668,0.9893617021276596,0.9863013698630138,7,True
3,S11,0.0570570304133299,0.9891304347826086,0.9846153846153847,8,True
3,S13,0.119530391442119,0.945054945054945,0.9206349206349206,8,True
3,S14,0.05763284520222111,0.9891304347826086,0.9863013698630138,4,True
3,S15,0.08070411828999832,0.9782608695652174,0.9714285714285714,5,True
3,S16,0.04315076551299249,1.0,1.0,5,True
3,S17,0.04521600197407259,1.0,1.0,1,True
3,S2,0.39326867964735107,0.8850574712643678,0.8484848484848485,8,True
3,S3,0.17009523726169695,0.9545454545454546,0.9354838709677419,8,True
3,S4,0.03722203465592275,1.0,1.0,1,True
3,S5,0.025872796033602357,1.0,1.0,1,True
3,S6,0.05892181462563444,1.0,1.0,7,True
3,S7,0.0619037783600381,1.0,1.0,8,True
3,S8,0.16514490439910123,0.978021978021978,0.9642857142857143,8,True
3,S9,0.0733926684236337,1.0,1.0,8,True
4,S10,0.041103492419013,0.9893617021276596,0.9863013698630138,1,True
4,S11,0.05120002849867699,0.9891304347826086,0.9846153846153847,1,True
4,S13,0.11066786156484298,0.945054945054945,0.9206349206349206,2,True
4,S14,0.0528660953891519,0.9891304347826086,0.9863013698630138,1,True
4,S15,0.0748644291024707,0.9782608695652174,0.9714285714285714,1,True
4,S16,0.038703100760127195,1.0,1.0,1,True
4,S17,0.04031782159351358,1.0,1.0,1,True
4,S2,0.38587498222541966,0.8850574712643678,0.8484848484848485,1,True
4,S3,0.135508770542699,0.9659090909090909,0.9508196721311476,8,True
4,S4,0.033456868672067326,1.0,1.0,1,True
4,S5,0.02209357176213773,1.0,1.0,1,True
4,S6,0.05425108528741305,1.0,1.0,1,True
4,S7,0.053354653546281355,1.0,1.0,2,True
4,S8,0.1414719417719057,0.978021978021978,0.9642857142857143,5,True
4,S9,0.0598179690763477,1.0,1.0,4,True
5,S10,0.036798585371016664,0.9893617021276596,0.9863013698630138,1,True
5,S11,0.046354002252530044,0.9891304347826086,0.9846153846153847,1,True
5,S13,0.10507160910196597,0.9560439560439561,0.9375,1,True
5,S14,0.04880572086455306,0.9891304347826086,0.9863013698630138,1,True
5,S15,0.07012030579264053,0.9891304347826086,0.9859154929577464,1,True
5,S16,0.03484537425835145,1.0,1.0,1,True
5,S17,0.03637044431401394,1.0,1.0,1,True
5,S2,0.3787733884902399,0.8850574712643678,0.8484848484848485,2,True
5,S3,0.12932614022846242,0.9659090909090909,0.9508196721311476,1,True
5,S4,0.03043539020617163,1.0,1.0,1,True
5,S5,0.019246552310809576,1.0,1.0,1,True
5,S6,0.050221025830766784,1.0,1.0,1,True
5,S7,0.048227469797873734,1.0,1.0,1,True
5,S8,0.13158296141623607,0.989010989010989,0.9818181818181818,2,True
5,S9,0.05472280212407649,1.0,1.0,1,True
6,S10,0.033101634198039305,0.9893617021276596,0.9863013698630138,1,True
6,S11,0.04227526331532802,0.9891304347826086,0.9846153846153847,1,True
6,S13,0.10000662230015323,0.9560439560439561,0.9375,1,True
6,S14,0.04530830377267512,0.9891304347826086,0.9863013698630138,1,True
6,S15,0.06565417408634748,0.9891304347826086,0.9859154929577464,1,True
6,S16,0.03163535527290365,1.0,1.0,1,True
6,S17,0.033126979398897256,1.0,1.0,1,True
6,S2,0.3735007415788024,0.8850574712643678,0.8484848484848485,1,True
6,S3,0.12345511800364027,0.9659090909090909,0.9508196721311476,1,True
6,S4,0.02795723653803476,1.0,1.0,1,True
6,S5,0.017023767149957528,1.0,1.0,1,True
6,S6,0.04677573313336057,1.0,1.0,1,True
6,S7,0.043927638322313306,1.0,1.0,1,True
6,S8,0.12365723328434143,0.989010989010989,0.9818181818181818,2,True
6,S9,0.050439011232314784,1.0,1.0,1,True
7,S10,0.029951420261716783,0.9893617021276596,0.9863013698630138,1,True
7,S11,0.03879174039121917,0.9891304347826086,0.9846153846153847,1,True
7,S13,0.09550548313258812,0.9560439560439561,0.9375,1,True
7,S14,0.042294056562089344,0.9891304347826086,0.9863013698630138,1,True
7,S15,0.0619011564143611,0.9891304347826086,0.9859154929577464,1,True
7,S16,0.028903151903568756,1.0,1.0,1,True
7,S17,0.030403824484309415,1.0,1.0,1,True
7,S2,0.3687138467757153,0.8850574712643678,0.8484848484848485,1,True
7,S3,0.11800891641220855,0.9659090909090909,0.9508196721311476,1,True
7,S4,0.02588887716516891,1.0,1.0,1,True
7,S5,0.015240558554677111,1.0,1.0,1,True
7,S6,0.04380819081020405,1.0,1.0,1,True
7,S7,0.04026657677027138,1.0,1.0,1,True
7,S8,0.11814330862814602,0.989010989010989,0.9818181818181818,1,True
7,S9,0.046797579024562865,1.0,1.0,1,True
8,S10,0.02725366531202687,0.9893617021276596,0.9863013698630138,1,True
8,S11,0.03580042489734117,0.9891304347826086,0.9846153846153847,1,True
8,S13,0.09149804936997845,0.9560439560439561,0.9375,1,True
8,S14,0.039656442130009746,0.9891304347826086,0.9863013698630138,1,True
