round,cid,loss,accuracy,f1,adaptive_epochs,selected
1,S10,0.6266443611557119,0.7127659574468085,0.619718309859155,0,True
1,S11,0.7041563255364788,0.5108695652173914,0.5631067961165049,0,True
1,S13,0.446456454132241,0.8901098901098901,0.84375,0,True
1,S14,0.3916056648223256,0.9021739130434783,0.88,0,True
1,S15,0.827485784450894,0.33695652173913043,0.11594202898550725,0,True
1,S16,0.334979198860427,0.967032967032967,0.9473684210526316,0,True
1,S17,0.41576379572048633,0.8936170212765957,0.8275862068965517,0,True
1,S2,0.537773462769798,0.735632183908046,0.6666666666666666,0,True
1,S3,0.4359688469145627,0.8522727272727273,0.8219178082191781,0,True
1,S4,0.45224262352641065,0.8522727272727273,0.8059701492537314,0,True
1,S5,0.4108826593948193,0.8901098901098901,0.8648648648648648,0,True
1,S6,0.34551129498359945,0.8444444444444444,0.8,0,True
1,S7,0.7582813553968407,0.6777777777777778,0.35555555555555557,0,True
1,S8,0.6253600474481733,0.6263736263736264,0.5142857142857143,0,True
1,S9,0.5690509971725162,0.7444444444444445,0.735632183908046,0,True
2,S10,0.37178303811074653,0.9042553191489362,0.8695652173913043,0,True
2,S11,0.5224865226486708,0.7282608695652174,0.6987951807228915,0,True
2,S13,0.40834759068062454,0.9010989010989011,0.8571428571428571,0,True
2,S14,0.25185157819541165,0.9782608695652174,0.9736842105263158,0,True
2,S15,0.6922311480121598,0.5652173913043478,0.31034482758620685,0,True
2,S16,0.23721230787688963,0.978021978021978,0.9655172413793104,0,True
2,S17,0.31614137696725964,0.9468085106382979,0.9152542372881356,0,True
2,S2,0.42982094776506036,0.7931034482758621,0.7000000000000001,0,True
2,S3,0.29905880286011427,0.9204545454545454,0.8955223880597014,0,True
2,S4,0.28653119914158165,0.9659090909090909,0.9538461538461539,0,True
2,S5,0.2769786585120071,0.945054945054945,0.9253731343283583,0,True
2,S6,0.22229415845134157,0.9666666666666667,0.9538461538461539,0,True
2,S7,0.5148510609378262,0.8111111111111111,0.6382978723404255,0,True
2,S8,0.535514479963981,0.7912087912087912,0.6984126984126985,0,True
2,S9,0.4344800227535766,0.9222222222222223,0.8923076923076922,0,True
3,S10,0.2555216447791909,0.9680851063829787,0.9589041095890412,0,True
3,S11,0.4228583845149356,0.8804347826086957,0.8450704225352113,0,True
3,S13,0.37718012740086193,0.9340659340659341,0.9032258064516129,0,True
3,S14,0.19483682136272062,0.9891304347826086,0.9866666666666666,0,True
3,S15,0.6120378352946954,0.6847826086956522,0.45283018867924524,0,True
3,S16,0.19123771706034476,0.989010989010989,0.983050847457627,0,True
3,S17,0.25510452733250655,0.9574468085106383,0.9333333333333333,0,True
3,S2,0.38191961919231093,0.8275862068965517,0.7540983606557377,0,True
3,S3,0.24726014739675659,0.9318181818181818,0.9090909090909091,0,True
3,S4,0.21432470639126563,0.9659090909090909,0.9538461538461539,0,True
3,S5,0.20887741316419423,0.978021978021978,0.9705882352941176,0,True
3,S6,0.1746031786692354,0.9777777777777777,0.96875,0,True
3,S7,0.3923369097491874,0.8888888888888888,0.8076923076923077,0,True
3,S8,0.4791935126337853,0.8681318681318682,0.7999999999999999,0,True
3,S9,0.38493981239468783,0.9333333333333333,0.9032258064516129,0,True
4,S10,0.19046043509378363,0.9680851063829787,0.9589041095890412,0,True
4,S11,0.3537138427687378,0.9456521739130435,0.9253731343283583,0,True
4,S13,0.35099135842350104,0.9340659340659341,0.9032258064516129,0,True
4,S14,0.16472689636404086,0.9891304347826086,0.9866666666666666,0,True
4,S15,0.5488200673403565,0.7282608695652174,0.5454545454545454,0,True
4,S16,0.1626946946673907,1.0,1.0,0,True
4,S17,0.2142284770434718,0.9787234042553191,0.9655172413793104,0,True
4,S2,0.35249886619789705,0.8390804597701149,0.7741935483870968,0,True
4,S3,0.21884460085310062,0.9545454545454546,0.9375,0,True
4,S4,0.17467661638271423,0.9659090909090909,0.9538461538461539,0,True
4,S5,0.16861333591439748,0.989010989010989,0.9850746268656716,0,True
4,S6,0.1500971499905501,0.9888888888888889,0.9841269841269841,0,True
4,S7,0.32321181409389577,0.9222222222222223,0.8727272727272727,0,True
4,S8,0.4337510046291951,0.9120879120879121,0.8666666666666666,0,True
4,S9,0.354378081204053,0.9222222222222223,0.8852459016393442,0,True
5,S10,0.15002517131313262,0.9787234042553191,0.972972972972973,0,True
5,S11,0.3016654359490695,0.967391304347826,0.9565217391304348,0,True
5,S13,0.32663222544644877,0.945054945054945,0.9206349206349206,0,True
5,S14,0.1459433578711389,0.9891304347826086,0.9866666666666666,0,True
5,S15,0.4946364043858206,0.8260869565217391,0.7333333333333334,0,True
5,S16,0.14301086585959905,1.0,1.0,0,True
5,S17,0.18497885704154113,0.9787234042553191,0.9655172413793104,0,True
5,S2,0.3297319327807557,0.8390804597701149,0.7741935483870968,0,True
5,S3,0.20032207349662387,0.9545454545454546,0.9375,0,True
5,S4,0.15022716659413035,0.9772727272727273,0.9696969696969697,0,True
5,S5,0.14255931836276972,0.989010989010989,0.9850746268656716,0,True
5,S6,0.13664998140423665,0.9888888888888889,0.9841269841269841,0,True
5,S7,0.2774099335251684,0.9333333333333333,0.8928571428571428,0,True
5,S8,0.3967866993613567,0.9230769230769231,0.8813559322033899,0,True
5,S9,0.32943677508382113,0.9444444444444444,0.9206349206349206,0,True
6,S10,0.1238810790799177,0.9893617021276596,0.9863013698630138,0,True
6,S11,0.2600317984190076,0.9782608695652174,0.9705882352941176,0,True
6,S13,0.3046288903797893,0.945054945054945,0.9206349206349206,0,True
6,S14,0.1330184784613064,0.9891304347826086,0.9866666666666666,0,True
6,S15,0.44593820743308715,0.8804347826086957,0.8307692307692308,0,True
