mode,accuracy_mean,accuracy_std,f1_mean
fedavg,0.9428698695940075,0.10954403221411409,0.9093948564280679
fedper,0.9820406604889363,0.03728933327071636,0.9716103244461453
ditto,0.977570131018407,0.04580192081769828,0.9618070818070819
fedper_adaptive,0.9849710634193393,0.03012512533788006,0.978756293945056
