round,cid,loss,accuracy,f1,adaptive_epochs,selected
1,S10,0.056261916785391615,1.0,1.0,0,True
1,S11,0.4662373559284493,0.782608695652174,0.5652173913043478,0,True
1,S13,0.19412915103049103,0.989010989010989,0.9850746268656716,0,True
1,S14,0.3031532440682406,0.967391304347826,0.9577464788732395,0,True
1,S15,0.17023467981290788,1.0,1.0,0,True
1,S16,0.2414018179537951,1.0,1.0,0,True
1,S17,0.18569805753305782,1.0,1.0,0,True
1,S2,0.5171493623437969,0.5862068965517241,0.25,0,True
1,S3,0.33116339391170846,0.8181818181818182,0.7333333333333333,0,True
1,S4,0.3060194065803937,0.9886363636363636,0.9846153846153847,0,True
1,S5,0.2606558648363239,0.989010989010989,0.9855072463768115,0,True
1,S6,0.49712547760907344,0.9222222222222223,0.898550724637681,0,True
1,S7,0.2010001134148589,0.9777777777777777,0.9666666666666666,0,True
1,S8,0.5595329277128659,0.6923076923076923,0.0,0,True
1,S9,0.1213163253609492,1.0,1.0,0,True
2,S10,0.019214315688014245,1.0,1.0,0,True
2,S11,0.2392099990906022,0.9239130434782609,0.8813559322033898,0,True
2,S13,0.11506462375949146,1.0,1.0,0,True
2,S14,0.2074426294446965,0.9891304347826086,0.9863013698630138,0,True
2,S15,0.11857023722550192,1.0,1.0,0,True
2,S16,0.10148427983880848,1.0,1.0,0,True
2,S17,0.09081394231065316,1.0,1.0,0,True
2,S2,0.4512281069196702,0.8045977011494253,0.746268656716418,0,True
2,S3,0.2934138822737996,0.8181818181818182,0.7333333333333333,0,True
2,S4,0.1968301901633043,1.0,1.0,0,True
2,S5,0.11757134960237509,0.989010989010989,0.9855072463768115,0,True
2,S6,0.21915775167352192,0.9555555555555556,0.9393939393939393,0,True
2,S7,0.140591382418847,1.0,1.0,0,True
2,S8,0.5484863263460056,0.7252747252747253,0.19354838709677416,0,True
2,S9,0.12837227900914067,1.0,1.0,0,True
3,S10,0.010620806857926933,1.0,1.0,0,True
3,S11,0.10799602936386998,0.967391304347826,0.9523809523809523,0,True
3,S13,0.06525935126036875,1.0,1.0,0,True
3,S14,0.07393680367269634,1.0,1.0,0,True
