mode,n_seeds,acc_mean,acc_std,f1_mean,f1_std
fedavg,10,0.9482556277609231,0.0082349874000152,0.9190788563805723,0.012812989905655188
fedper,10,0.976613962527006,0.007160581860006703,0.9658174603243026,0.009932789263690615
ditto,10,0.9717550715275843,0.007038667457684735,0.9596153000324449,0.007550551868102147
fedper_adaptive,10,0.9842340252617614,0.004357445481587469,0.9785967054226653,0.00489624496855601
